,train,val,iou
0,1.3579329561395763,1.1896540123527333,0.4432470319255549
1,1.0439873824970356,1.0315357701758208,0.5724548296907552
2,0.9352001960841452,0.9635984882459803,0.6240768636129511
3,0.9061543855429685,0.9225982089163893,0.6424588836248144
4,0.892887709670047,0.9596918215185909,0.6190773116590272
5,0.8784865895000236,0.8924341259871499,0.6563177668878903
6,0.8378416700481874,0.8761418113263987,0.6680428898703304
7,0.8301914444108227,0.9021762354394137,0.6558149014658414
8,0.8258227219720105,0.8820882924532486,0.6740278666350333
9,0.8209329155223498,0.8689085250183687,0.6760237171601134
10,0.8348015135996569,0.8262727520728516,0.7014743435778242
11,0.779327055354336,0.8030975418070615,0.7178494566975401
12,0.7379088799241172,0.7937416088278011,0.71920717976433
13,0.7212771849266226,0.7773936009508068,0.7303210306646131
14,0.7105448105275878,0.7748620176719407,0.7361993402307361
15,0.692819788990179,0.7576889822543678,0.7435822478389784
16,0.6913820280326353,0.8034524195275065,0.7268288199580137
17,0.6833849079628703,0.7898006431632123,0.7288528619684226
18,0.6694444699900773,0.7254379805871995,0.7438452109106948
19,0.6605464556157836,0.7509138520996449,0.7462229313912031
20,0.6514755631630846,0.7283493964853933,0.7525503527109642
21,0.64742649125855,0.7518868807513835,0.7504548622625613
22,0.6427191518896348,0.7584280924776853,0.7455116959643598
23,0.6377920547461609,0.7068018276812666,0.7593844597134445
24,0.6349510457505824,0.7040181225639278,0.7572980119876043
25,0.6280668786452519,0.6990009657407211,0.765593326035006
26,0.6284655872964265,0.6981579358294859,0.7662822179267971
27,0.6230173484913046,0.7114571426379479,0.7672558718879506
28,0.6211236882382903,0.7005411469835346,0.7632471566934985
29,0.6149733210500345,0.7177854536448495,0.7656912731780864
30,0.6127979178893616,0.6912976479378797,0.7676744279855129
31,0.6079501139301482,0.6833475863529463,0.7745120980305652
32,0.6104644010175808,0.6849689935728654,0.7725037126504396
33,0.6052000354434445,0.6913484569828389,0.7661888095750676
34,0.6006374227184478,0.7149899559000791,0.7655051603419729
35,0.5999407267422102,0.7447108883978957,0.7457173684757352
